Party;Voting ID;Yes;No;Unregistered;Refrained;Excused;Max
ODS;68546;0;8;6;7;4;O
Piráti;68546;20;0;0;0;2;Y
SPD;68546;0;0;3;18;1;O
ČSSD;68546;4;1;0;4;6;O
KSČM;68546;6;0;3;2;4;O
KDU-ČSL;68546;1;1;0;6;2;O
TOP09;68546;0;0;0;4;3;O
STAN;68546;1;0;1;4;0;O
ANO;68548;49;0;11;1;17;Y
ODS;68548;12;0;9;0;4;O
Piráti;68548;20;0;0;0;2;Y
SPD;68548;19;0;1;0;2;Y
ČSSD;68548;8;0;1;0;6;Y
KSČM;68548;7;0;2;1;5;O
KDU-ČSL;68548;6;0;2;0;2;Y
TOP09;68548;1;0;2;1;3;O
STAN;68548;4;0;1;1;0;Y
ANO;68549;74;0;0;2;2;Y
ODS;68549;23;0;2;0;0;Y
Piráti;68549;21;0;1;0;0;Y
SPD;68549;21;0;0;1;0;Y
ČSSD;68549;8;0;5;0;2;Y
KSČM;68549;12;0;2;0;1;Y
KDU-ČSL;68549;9;0;0;1;0;Y
TOP09;68549;3;0;2;2;0;O
STAN;68549;5;0;1;0;0;Y
ANO;68550;1;53;15;6;3;N
ODS;68550;15;2;7;1;0;Y
Piráti;68550;19;0;2;0;1;Y
SPD;68550;18;0;4;0;0;Y
ČSSD;68550;0;5;6;1;3;O
KSČM;68550;0;2;12;0;1;O
KDU-ČSL;68550;8;0;2;0;0;Y
TOP09;68550;5;0;2;0;0;Y
STAN;68550;5;0;1;0;0;Y
ANO;68551;0;76;0;0;2;N
ODS;68551;25;0;0;0;0;Y
Piráti;68551;22;0;0;0;0;Y
SPD;68551;22;0;0;0;0;Y
ČSSD;68551;0;0;12;0;3;O
KSČM;68551;0;14;0;0;1;N
KDU-ČSL;68551;10;0;0;0;0;Y
TOP09;68551;7;0;0;0;0;Y
STAN;68551;6;0;0;0;0;Y
ANO;68552;49;0;19;3;7;Y
ODS;68552;11;0;9;3;2;O
Piráti;68552;12;0;7;1;2;Y
SPD;68552;16;0;5;0;1;Y
ČSSD;68552;10;0;3;1;1;Y
KSČM;68552;7;0;7;0;1;O
KDU-ČSL;68552;4;0;2;1;3;O
TOP09;68552;3;0;1;1;2;O
STAN;68552;3;0;3;0;0;Y
ANO;68553;72;0;1;1;4;Y
ODS;68553;22;0;1;0;2;Y
Piráti;68553;19;0;0;1;2;Y
SPD;68553;18;0;1;2;1;Y
ČSSD;68553;14;0;0;0;1;Y
KSČM;68553;10;1;1;2;1;Y
KDU-ČSL;68553;7;0;0;0;3;Y
TOP09;68553;6;0;0;0;1;Y
STAN;68553;4;0;1;1;0;Y
ANO;68554;0;53;1;20;4;N
ODS;68554;0;22;1;0;2;N
Piráti;68554;0;11;0;9;2;N
SPD;68554;20;0;1;0;1;Y
ČSSD;68554;2;0;0;12;1;O
KSČM;68554;13;0;1;0;1;Y
KDU-ČSL;68554;0;7;0;0;3;N
TOP09;68554;0;6;0;0;1;N
STAN;68554;1;2;1;2;0;O
ANO;68555;72;0;1;1;4;Y
ODS;68555;0;22;1;0;2;N
Piráti;68555;0;1;0;19;2;O
SPD;68555;20;0;1;0;1;Y
ČSSD;68555;1;0;0;13;1;O
KSČM;68555;13;0;1;0;1;Y
KDU-ČSL;68555;0;6;0;1;3;N
TOP09;68555;0;6;0;0;1;N
STAN;68555;0;1;1;4;0;O
ANO;68556;0;58;1;15;4;N
ODS;68556;22;0;1;0;2;Y
Piráti;68556;20;0;0;0;2;Y
SPD;68556;20;0;1;0;1;Y
ČSSD;68556;2;1;0;11;1;O
KSČM;68556;3;2;1;8;1;O
KDU-ČSL;68556;7;0;0;0;3;Y
TOP09;68556;6;0;0;0;1;Y
STAN;68556;4;0;1;1;0;Y
ANO;68557;1;52;1;20;4;N
ODS;68557;21;0;1;1;2;Y
Piráti;68557;20;0;0;0;2;Y
SPD;68557;0;0;1;20;1;O
ČSSD;68557;0;7;0;7;1;O
KSČM;68557;0;7;1;6;1;O
KDU-ČSL;68557;7;0;0;0;3;Y
TOP09;68557;6;0;0;0;1;Y
STAN;68557;1;0;1;4;0;O
ANO;68558;1;55;1;17;4;N
ODS;68558;17;0;2;4;2;Y
Piráti;68558;20;0;0;0;2;Y
SPD;68558;0;0;1;20;1;O
ČSSD;68558;1;8;0;5;1;N
KSČM;68558;0;5;1;8;1;O
KDU-ČSL;68558;7;0;0;0;3;Y
TOP09;68558;6;0;0;0;1;Y
STAN;68558;4;0;1;1;0;Y
ANO;68559;0;61;1;12;4;N
ODS;68559;19;0;1;3;2;Y
Piráti;68559;19;0;0;1;2;Y
SPD;68559;20;0;1;0;1;Y
ČSSD;68559;2;8;0;4;1;N
KSČM;68559;0;1;1;12;1;O
KDU-ČSL;68559;7;0;0;0;3;Y
TOP09;68559;5;0;0;1;1;Y
STAN;68559;4;0;1;1;0;Y
ANO;68560;71;0;1;2;4;Y
ODS;68560;0;2;1;20;2;O
Piráti;68560;20;0;0;0;2;Y
SPD;68560;20;0;1;0;1;Y
ČSSD;68560;3;2;0;9;1;O
KSČM;68560;0;1;1;12;1;O
KDU-ČSL;68560;0;1;1;5;3;O
TOP09;68560;3;0;0;3;1;O
STAN;68560;2;0;1;3;0;O
ANO;68561;0;64;1;9;4;N
ODS;68561;22;0;1;0;2;Y
Piráti;68561;20;0;0;0;2;Y
SPD;68561;20;0;1;0;1;Y
ČSSD;68561;6;0;0;8;1;O
KSČM;68561;0;1;1;12;1;O
KDU-ČSL;68561;7;0;0;0;3;Y
TOP09;68561;6;0;0;0;1;Y
STAN;68561;4;0;1;1;0;Y
ANO;68562;0;7;1;66;4;O
ODS;68562;22;0;1;0;2;Y
Piráti;68562;20;0;0;0;2;Y
SPD;68562;20;0;1;0;1;Y
ČSSD;68562;1;0;0;13;1;O
KSČM;68562;1;0;1;12;1;O
KDU-ČSL;68562;7;0;0;0;3;Y
TOP09;68562;6;0;0;0;1;Y
STAN;68562;4;0;1;1;0;Y
ANO;68563;1;49;1;23;4;N
ODS;68563;20;0;1;2;2;Y
Piráti;68563;0;0;0;20;2;O
SPD;68563;20;0;1;0;1;Y
ČSSD;68563;2;3;0;9;1;O
KSČM;68563;2;0;1;11;1;O
KDU-ČSL;68563;5;0;0;2;3;Y
TOP09;68563;4;0;0;2;1;Y
STAN;68563;2;0;1;3;0;O
ANO;68564;2;0;1;71;4;O
ODS;68564;22;0;1;0;2;Y
Piráti;68564;16;2;0;2;2;Y
SPD;68564;20;0;1;0;1;Y
ČSSD;68564;4;0;0;10;1;O
KSČM;68564;1;0;1;12;1;O
KDU-ČSL;68564;7;0;0;0;3;Y
TOP09;68564;6;0;0;0;1;Y
STAN;68564;4;0;1;1;0;Y
ANO;68565;73;0;1;0;4;Y
ODS;68565;0;22;1;0;2;N
Piráti;68565;19;0;0;1;2;Y
SPD;68565;20;0;1;0;1;Y
ČSSD;68565;14;0;0;0;1;Y
KSČM;68565;6;0;1;7;1;O
KDU-ČSL;68565;5;0;0;2;3;Y
TOP09;68565;2;1;0;3;1;O
STAN;68565;4;0;1;1;0;Y
ANO;68566;72;0;1;1;4;Y
ODS;68566;0;21;2;0;2;N
Piráti;68566;0;0;2;18;2;O
SPD;68566;20;0;1;0;1;Y
ČSSD;68566;13;0;1;0;1;Y
KSČM;68566;10;0;4;0;1;Y
KDU-ČSL;68566;0;7;0;0;3;N
TOP09;68566;6;0;0;0;1;Y
STAN;68566;2;1;2;1;0;O
ANO;68567;0;70;3;1;4;N
ODS;68567;23;0;0;0;2;Y
Piráti;68567;16;0;4;0;2;Y
SPD;68567;21;0;0;0;1;Y
ČSSD;68567;1;9;3;0;2;N
KSČM;68567;0;8;2;4;1;N
KDU-ČSL;68567;6;0;1;0;3;Y
TOP09;68567;4;0;2;0;1;Y
STAN;68567;4;0;2;0;0;Y
ANO;68568;71;0;3;0;4;Y
ODS;68568;0;22;0;1;2;N
Piráti;68568;1;15;4;0;2;N
SPD;68568;0;21;0;0;1;N
ČSSD;68568;10;0;3;0;2;Y
KSČM;68568;11;0;2;1;1;Y
KDU-ČSL;68568;0;6;1;0;3;N
TOP09;68568;0;4;2;0;1;N
STAN;68568;0;5;1;0;0;N
ANO;68569;70;0;3;0;5;Y
ODS;68569;23;0;0;0;2;Y
Piráti;68569;19;0;1;0;2;Y
SPD;68569;19;0;2;0;1;Y
ČSSD;68569;10;0;3;0;2;Y
KSČM;68569;12;0;2;0;1;Y
KDU-ČSL;68569;6;0;1;0;3;Y
TOP09;68569;6;0;0;0;1;Y
STAN;68569;4;0;2;0;0;Y
ANO;68570;62;0;3;8;5;Y
ODS;68570;0;0;0;23;2;O
Piráti;68570;0;0;1;19;2;O
SPD;68570;19;0;2;0;1;Y
ČSSD;68570;7;0;3;3;2;O
KSČM;68570;11;0;2;1;1;Y
KDU-ČSL;68570;6;0;1;0;3;Y
TOP09;68570;6;0;0;0;1;Y
STAN;68570;4;0;2;0;0;Y
ANO;68571;56;0;16;0;6;Y
ODS;68571;10;1;8;4;2;O
Piráti;68571;1;0;3;15;3;O
SPD;68571;17;0;4;0;1;Y
ČSSD;68571;6;0;7;1;1;O
KSČM;68571;9;0;4;1;1;Y
KDU-ČSL;68571;0;3;2;2;3;O
TOP09;68571;0;2;2;1;2;O
STAN;68571;0;0;4;2;0;O
ANO;68572;59;0;10;0;9;Y
ODS;68572;16;3;4;0;2;Y
Piráti;68572;11;3;4;1;3;Y
SPD;68572;0;0;9;11;2;O
ČSSD;68572;9;0;4;0;2;Y
KSČM;68572;2;4;7;1;1;O
KDU-ČSL;68572;5;0;1;0;4;Y
TOP09;68572;1;0;5;0;1;O
STAN;68572;4;0;2;0;0;Y
ANO;68573;73;0;0;0;5;Y
ODS;68573;17;1;4;0;3;Y
Piráti;68573;17;0;1;2;2;Y
SPD;68573;18;0;1;0;3;Y
ČSSD;68573;14;0;1;0;0;Y
KSČM;68573;12;0;0;2;1;Y
KDU-ČSL;68573;7;0;2;0;1;Y
TOP09;68573;5;0;1;0;1;Y
STAN;68573;6;0;0;0;0;Y
ANO;68574;73;0;0;0;5;Y
ODS;68574;19;0;3;0;3;Y
Piráti;68574;20;0;0;0;2;Y
SPD;68574;18;0;1;0;3;Y
ČSSD;68574;14;0;1;0;0;Y
KSČM;68574;13;0;0;1;1;Y
KDU-ČSL;68574;7;0;2;0;1;Y
TOP09;68574;5;0;1;0;1;Y
STAN;68574;6;0;0;0;0;Y
ANO;68575;1;6;0;66;5;O
ODS;68575;18;0;3;1;3;Y
Piráti;68575;20;0;0;0;2;Y
SPD;68575;0;0;1;18;3;O
ČSSD;68575;1;6;0;8;0;O
KSČM;68575;0;5;0;9;1;O
KDU-ČSL;68575;7;0;2;0;1;Y
TOP09;68575;5;0;1;0;1;Y
STAN;68575;6;0;0;0;0;Y
ANO;68576;73;0;0;0;5;Y
ODS;68576;0;22;0;0;3;N
Piráti;68576;0;20;0;0;2;N
SPD;68576;0;17;1;1;3;N
ČSSD;68576;14;0;1;0;0;Y
KSČM;68576;13;0;0;1;1;Y
KDU-ČSL;68576;0;7;2;0;1;N
TOP09;68576;0;6;0;0;1;N
STAN;68576;0;6;0;0;0;N
ANO;68577;57;0;0;16;5;Y
ODS;68577;22;0;0;0;3;Y
Piráti;68577;11;1;1;7;2;Y
SPD;68577;6;0;0;13;3;O
ČSSD;68577;11;0;0;4;0;Y
KSČM;68577;5;0;0;9;1;O
KDU-ČSL;68577;6;0;2;1;1;Y
TOP09;68577;1;1;1;3;1;O
STAN;68577;3;1;0;2;0;Y
ANO;68578;71;0;0;2;5;Y
ODS;68578;18;1;0;3;3;Y
Piráti;68578;16;2;0;2;2;Y
SPD;68578;17;0;0;2;3;Y
ČSSD;68578;15;0;0;0;0;Y
KSČM;68578;13;0;0;1;1;Y
KDU-ČSL;68578;5;2;1;1;1;Y
TOP09;68578;5;1;0;0;1;Y
STAN;68578;4;1;0;1;0;Y
ANO;68579;73;0;0;0;5;Y
ODS;68579;0;22;0;0;3;N
Piráti;68579;0;20;0;0;2;N
SPD;68579;0;19;0;0;3;N
ČSSD;68579;15;0;0;0;0;Y
KSČM;68579;14;0;0;0;1;Y
KDU-ČSL;68579;0;8;1;0;1;N
TOP09;68579;0;6;0;0;1;N
STAN;68579;0;6;0;0;0;N
ANO;68580;70;0;0;3;5;Y
ODS;68580;21;0;1;0;3;Y
Piráti;68580;18;0;0;2;2;Y
SPD;68580;19;0;0;0;3;Y
ČSSD;68580;14;0;0;1;0;Y
KSČM;68580;9;0;0;5;1;Y
KDU-ČSL;68580;7;0;1;1;1;Y
TOP09;68580;6;0;0;0;1;Y
STAN;68580;4;0;1;1;0;Y
ANO;68581;71;0;0;2;5;Y
ODS;68581;21;0;1;0;3;Y
Piráti;68581;19;0;0;1;2;Y
SPD;68581;19;0;0;0;3;Y
ČSSD;68581;14;0;0;1;0;Y
KSČM;68581;8;0;0;6;1;Y
KDU-ČSL;68581;8;0;0;1;1;Y
TOP09;68581;6;0;0;0;1;Y
STAN;68581;4;0;1;1;0;Y
ANO;68582;69;0;0;4;5;Y
ODS;68582;20;0;0;2;3;Y
Piráti;68582;19;0;1;0;2;Y
SPD;68582;18;0;0;1;3;Y
ČSSD;68582;15;0;0;0;0;Y
KSČM;68582;10;0;0;4;1;Y
KDU-ČSL;68582;9;0;0;0;1;Y
TOP09;68582;6;0;0;0;1;Y
STAN;68582;6;0;0;0;0;Y
ANO;68583;2;0;0;71;5;O
ODS;68583;2;0;0;20;3;O
Piráti;68583;0;0;1;19;2;O
SPD;68583;1;0;0;18;3;O
ČSSD;68583;0;0;0;15;0;O
KSČM;68583;0;0;0;14;1;O
KDU-ČSL;68583;0;0;0;9;1;O
TOP09;68583;0;0;0;6;1;O
STAN;68583;2;0;0;4;0;O
ANO;68584;71;0;0;2;5;Y
ODS;68584;22;0;0;0;3;Y
Piráti;68584;19;0;1;0;2;Y
SPD;68584;19;0;0;0;3;Y
ČSSD;68584;15;0;0;0;0;Y
KSČM;68584;10;0;0;4;1;Y
KDU-ČSL;68584;9;0;0;0;1;Y
TOP09;68584;6;0;0;0;1;Y
STAN;68584;5;0;0;1;0;Y
ANO;68585;72;0;0;1;5;Y
ODS;68585;22;0;0;0;3;Y
Piráti;68585;19;0;1;0;2;Y
SPD;68585;18;0;0;1;3;Y
ČSSD;68585;15;0;0;0;0;Y
KSČM;68585;10;0;0;4;1;Y
KDU-ČSL;68585;9;0;0;0;1;Y
TOP09;68585;6;0;0;0;1;Y
STAN;68585;6;0;0;0;0;Y
ANO;68586;0;68;0;5;5;N
ODS;68586;0;22;0;0;3;N
Piráti;68586;0;19;1;0;2;N
SPD;68586;0;18;0;1;3;N
ČSSD;68586;0;15;0;0;0;N
KSČM;68586;0;10;0;4;1;N
KDU-ČSL;68586;0;9;0;0;1;N
TOP09;68586;0;6;0;0;1;N
STAN;68586;0;6;0;0;0;N
ANO;68587;0;66;0;7;5;N
ODS;68587;22;0;0;0;3;Y
Piráti;68587;0;18;1;1;2;N
SPD;68587;19;0;0;0;3;Y
ČSSD;68587;0;15;0;0;0;N
KSČM;68587;0;9;0;5;1;N
KDU-ČSL;68587;0;8;0;1;1;N
TOP09;68587;0;5;0;1;1;N
STAN;68587;0;0;0;6;0;O
ANO;68588;71;0;0;2;5;Y
ODS;68588;0;2;0;20;3;O
Piráti;68588;19;0;1;0;2;Y
SPD;68588;19;0;0;0;3;Y
ČSSD;68588;15;0;0;0;0;Y
KSČM;68588;0;9;0;5;1;N
KDU-ČSL;68588;9;0;0;0;1;Y
TOP09;68588;6;0;0;0;1;Y
STAN;68588;5;1;0;0;0;Y
ANO;68589;70;0;0;3;5;Y
ODS;68589;22;0;0;0;3;Y
Piráti;68589;19;0;1;0;2;Y
SPD;68589;18;0;0;1;3;Y
ČSSD;68589;15;0;0;0;0;Y
KSČM;68589;13;0;0;1;1;Y
KDU-ČSL;68589;9;0;0;0;1;Y
TOP09;68589;5;0;0;1;1;Y
STAN;68589;6;0;0;0;0;Y
ANO;68590;69;0;0;4;5;Y
ODS;68590;22;0;0;0;3;Y
Piráti;68590;20;0;0;0;2;Y
SPD;68590;18;0;0;1;3;Y
ČSSD;68590;15;0;0;0;0;Y
KSČM;68590;13;0;0;1;1;Y
KDU-ČSL;68590;9;0;0;0;1;Y
TOP09;68590;5;0;0;1;1;Y
STAN;68590;6;0;0;0;0;Y
ANO;68591;71;0;0;2;5;Y
ODS;68591;21;0;0;1;3;Y
Piráti;68591;20;0;0;0;2;Y
SPD;68591;18;0;0;1;3;Y
ČSSD;68591;15;0;0;0;0;Y
KSČM;68591;13;0;0;1;1;Y
KDU-ČSL;68591;9;0;0;0;1;Y
TOP09;68591;5;0;0;1;1;Y
STAN;68591;5;0;0;1;0;Y
ANO;68592;68;1;0;4;5;Y
ODS;68592;22;0;0;0;3;Y
Piráti;68592;0;15;0;5;2;N
SPD;68592;18;0;0;1;3;Y
ČSSD;68592;6;4;0;5;0;Y
KSČM;68592;13;0;0;1;1;Y
KDU-ČSL;68592;8;0;0;1;1;Y
TOP09;68592;5;0;0;1;1;Y
STAN;68592;6;0;0;0;0;Y
ANO;68593;71;0;0;2;5;Y
ODS;68593;22;0;0;0;3;Y
Piráti;68593;0;15;0;5;2;N
SPD;68593;18;0;0;1;3;Y
ČSSD;68593;14;0;0;1;0;Y
KSČM;68593;13;0;0;1;1;Y
KDU-ČSL;68593;9;0;0;0;1;Y
TOP09;68593;6;0;0;0;1;Y
STAN;68593;6;0;0;0;0;Y
ANO;68594;69;0;0;4;5;Y
ODS;68594;21;0;0;1;3;Y
Piráti;68594;0;4;0;16;2;O
SPD;68594;18;0;0;1;3;Y
ČSSD;68594;14;0;0;1;0;Y
KSČM;68594;12;0;0;2;1;Y
KDU-ČSL;68594;9;0;0;0;1;Y
TOP09;68594;6;0;0;0;1;Y
STAN;68594;5;0;0;1;0;Y
ANO;68595;71;0;0;2;5;Y
ODS;68595;0;0;0;22;3;O
Piráti;68595;0;7;0;13;2;O
SPD;68595;17;0;0;2;3;Y
ČSSD;68595;14;1;0;0;0;Y
KSČM;68595;1;0;0;13;1;O
KDU-ČSL;68595;9;0;0;0;1;Y
TOP09;68595;0;0;0;6;1;O
STAN;68595;0;0;0;6;0;O
ANO;68596;0;68;0;5;5;N
ODS;68596;0;0;0;22;3;O
Piráti;68596;20;0;0;0;2;Y
SPD;68596;1;17;0;1;3;N
ČSSD;68596;0;13;0;2;0;N
KSČM;68596;0;0;0;14;1;O
KDU-ČSL;68596;0;8;0;1;1;N
TOP09;68596;1;0;0;5;1;O
STAN;68596;4;0;0;2;0;Y
ANO;68597;1;68;0;4;5;N
ODS;68597;0;22;0;0;3;N
Piráti;68597;20;0;0;0;2;Y
SPD;68597;0;18;0;1;3;N
ČSSD;68597;0;13;0;2;0;N
KSČM;68597;0;0;0;14;1;O
KDU-ČSL;68597;9;0;0;0;1;Y
TOP09;68597;5;1;0;0;1;Y
STAN;68597;0;0;0;6;0;O
ANO;68598;0;67;0;6;5;N
ODS;68598;1;19;0;2;3;N
Piráti;68598;20;0;0;0;2;Y
SPD;68598;0;18;0;1;3;N
ČSSD;68598;0;15;0;0;0;N
KSČM;68598;0;0;0;14;1;O
KDU-ČSL;68598;9;0;0;0;1;Y
TOP09;68598;6;0;0;0;1;Y
STAN;68598;1;0;0;5;0;O
ANO;68599;70;0;0;3;5;Y
ODS;68599;20;0;0;2;3;Y
Piráti;68599;20;0;0;0;2;Y
SPD;68599;0;18;0;1;3;N
ČSSD;68599;15;0;0;0;0;Y
KSČM;68599;0;0;0;14;1;O
KDU-ČSL;68599;9;0;0;0;1;Y
TOP09;68599;6;0;0;0;1;Y
STAN;68599;6;0;0;0;0;Y
ANO;68600;71;0;0;2;5;Y
ODS;68600;22;0;0;0;3;Y
Piráti;68600;0;5;0;15;2;O
SPD;68600;19;0;0;0;3;Y
ČSSD;68600;15;0;0;0;0;Y
KSČM;68600;13;0;0;1;1;Y
KDU-ČSL;68600;9;0;0;0;1;Y
TOP09;68600;6;0;0;0;1;Y
STAN;68600;6;0;0;0;0;Y
ANO;68601;67;0;0;6;5;Y
ODS;68601;0;21;0;1;3;N
Piráti;68601;6;6;0;8;2;O
SPD;68601;0;19;0;0;3;N
ČSSD;68601;1;13;0;1;0;N
KSČM;68601;0;0;0;14;1;O
KDU-ČSL;68601;0;9;0;0;1;N
TOP09;68601;0;6;0;0;1;N
STAN;68601;0;6;0;0;0;N
ANO;68602;70;0;0;3;5;Y
ODS;68602;22;0;0;0;3;Y
Piráti;68602;20;0;0;0;2;Y
SPD;68602;19;0;0;0;3;Y
ČSSD;68602;15;0;0;0;0;Y
KSČM;68602;12;0;0;2;1;Y
KDU-ČSL;68602;9;0;0;0;1;Y
TOP09;68602;5;0;0;1;1;Y
STAN;68602;6;0;0;0;0;Y
ANO;68603;0;69;0;4;5;N
ODS;68603;1;21;0;0;3;N
Piráti;68603;0;20;0;0;2;N
SPD;68603;0;19;0;0;3;N
ČSSD;68603;6;5;0;4;0;Y
KSČM;68603;0;0;0;14;1;O
KDU-ČSL;68603;0;9;0;0;1;N
TOP09;68603;0;6;0;0;1;N
STAN;68603;0;6;0;0;0;N
ANO;68604;0;69;0;4;5;N
ODS;68604;0;22;0;0;3;N
Piráti;68604;17;0;0;3;2;Y
SPD;68604;0;19;0;0;3;N
ČSSD;68604;2;7;0;6;0;N
KSČM;68604;0;0;0;14;1;O
KDU-ČSL;68604;6;0;0;3;1;Y
TOP09;68604;0;0;0;6;1;O
STAN;68604;0;1;0;5;0;O
ANO;68605;0;69;0;4;5;N
ODS;68605;0;22;0;0;3;N
Piráti;68605;20;0;0;0;2;Y
SPD;68605;0;19;0;0;3;N
ČSSD;68605;0;14;0;1;0;N
KSČM;68605;0;1;0;13;1;O
KDU-ČSL;68605;0;9;0;0;1;N
TOP09;68605;5;0;0;1;1;Y
STAN;68605;0;0;0;6;0;O
ANO;68606;0;71;0;2;5;N
ODS;68606;0;22;0;0;3;N
Piráti;68606;20;0;0;0;2;Y
SPD;68606;0;19;0;0;3;N
ČSSD;68606;0;14;0;1;0;N
KSČM;68606;0;0;0;14;1;O
KDU-ČSL;68606;0;8;0;1;1;N
TOP09;68606;5;0;0;1;1;Y
STAN;68606;0;1;0;5;0;O
ANO;68607;0;71;0;2;5;N
ODS;68607;0;21;0;1;3;N
Piráti;68607;20;0;0;0;2;Y
SPD;68607;0;19;0;0;3;N
ČSSD;68607;0;14;0;1;0;N
KSČM;68607;0;0;0;14;1;O
KDU-ČSL;68607;0;8;0;1;1;N
TOP09;68607;6;0;0;0;1;Y
STAN;68607;0;1;0;5;0;O
ANO;68608;66;0;0;7;5;Y
ODS;68608;22;0;0;0;3;Y
Piráti;68608;20;0;0;0;2;Y
SPD;68608;0;19;0;0;3;N
ČSSD;68608;15;0;0;0;0;Y
KSČM;68608;0;0;0;14;1;O
KDU-ČSL;68608;9;0;0;0;1;Y
TOP09;68608;6;0;0;0;1;Y
STAN;68608;6;0;0;0;0;Y
ANO;68609;0;68;0;5;5;N
ODS;68609;0;22;0;0;3;N
Piráti;68609;0;20;0;0;2;N
SPD;68609;0;19;0;0;3;N
ČSSD;68609;1;12;0;2;0;N
KSČM;68609;11;0;0;3;1;Y
KDU-ČSL;68609;0;9;0;0;1;N
TOP09;68609;0;6;0;0;1;N
STAN;68609;0;2;0;4;0;O
ANO;68610;0;4;0;69;5;O
ODS;68610;0;22;0;0;3;N
Piráti;68610;0;19;0;1;2;N
SPD;68610;19;0;0;0;3;Y
ČSSD;68610;0;9;0;6;0;N
KSČM;68610;13;0;0;1;1;Y
KDU-ČSL;68610;9;0;0;0;1;Y
TOP09;68610;0;6;0;0;1;N
STAN;68610;6;0;0;0;0;Y
ANO;68611;0;71;0;2;5;N
ODS;68611;1;21;0;0;3;N
Piráti;68611;0;20;0;0;2;N
SPD;68611;19;0;0;0;3;Y
ČSSD;68611;0;14;0;1;0;N
KSČM;68611;0;12;0;2;1;N
KDU-ČSL;68611;9;0;0;0;1;Y
TOP09;68611;0;0;0;6;1;O
STAN;68611;3;0;0;3;0;Y
ANO;68612;70;1;0;2;5;Y
ODS;68612;0;1;0;21;3;O
Piráti;68612;16;0;0;4;2;Y
SPD;68612;19;0;0;0;3;Y
ČSSD;68612;15;0;0;0;0;Y
KSČM;68612;1;0;0;13;1;O
KDU-ČSL;68612;9;0;0;0;1;Y
TOP09;68612;6;0;0;0;1;Y
STAN;68612;6;0;0;0;0;Y
ANO;68613;59;1;0;13;5;Y
ODS;68613;0;19;1;2;3;N
Piráti;68613;0;16;0;4;2;N
SPD;68613;1;15;0;3;3;N
ČSSD;68613;1;8;0;5;1;N
KSČM;68613;11;1;0;2;1;Y
KDU-ČSL;68613;0;8;0;1;1;N
TOP09;68613;0;5;0;1;1;N
STAN;68613;0;5;0;1;0;N
ANO;68614;63;0;0;10;5;Y
ODS;68614;20;0;0;2;3;Y
Piráti;68614;17;0;0;3;2;Y
SPD;68614;18;0;0;1;3;Y
ČSSD;68614;10;0;0;4;1;Y
KSČM;68614;14;0;0;0;1;Y
KDU-ČSL;68614;8;0;0;1;1;Y
TOP09;68614;5;0;0;1;1;Y
STAN;68614;6;0;0;0;0;Y
ANO;68615;0;3;0;70;5;O
ODS;68615;19;0;0;3;3;Y
Piráti;68615;0;17;0;3;2;N
SPD;68615;17;0;0;2;3;Y
ČSSD;68615;0;10;0;4;1;N
KSČM;68615;0;5;0;9;1;O
KDU-ČSL;68615;0;7;0;2;1;N
TOP09;68615;0;6;0;0;1;N
STAN;68615;0;5;0;1;0;N
ANO;68616;4;5;8;55;6;O
ODS;68616;22;0;0;0;3;Y
Piráti;68616;19;0;1;0;2;Y
SPD;68616;18;0;1;0;3;Y
ČSSD;68616;11;1;2;0;1;Y
KSČM;68616;0;12;0;2;1;N
KDU-ČSL;68616;9;0;0;0;1;Y
TOP09;68616;6;0;0;0;1;Y
STAN;68616;6;0;0;0;0;Y
ANO;68617;71;1;0;0;6;Y
ODS;68617;0;20;2;0;3;N
Piráti;68617;0;19;1;0;2;N
SPD;68617;0;18;1;0;3;N
ČSSD;68617;12;0;1;1;1;Y
KSČM;68617;0;12;1;1;1;N
KDU-ČSL;68617;0;8;0;0;2;N
TOP09;68617;0;6;0;0;1;N
STAN;68617;0;6;0;0;0;N
ANO;68618;66;1;0;5;6;Y
ODS;68618;20;0;2;0;3;Y
Piráti;68618;20;0;0;0;2;Y
SPD;68618;18;0;1;0;3;Y
ČSSD;68618;13;0;1;0;1;Y
KSČM;68618;12;0;1;1;1;Y
KDU-ČSL;68618;8;0;0;0;2;Y
TOP09;68618;6;0;0;0;1;Y
STAN;68618;6;0;0;0;0;Y
ANO;68619;0;25;0;47;6;O
ODS;68619;20;0;1;1;3;Y
Piráti;68619;20;0;0;0;2;Y
SPD;68619;19;0;0;0;3;Y
ČSSD;68619;1;0;1;12;1;O
KSČM;68619;12;0;1;1;1;Y
KDU-ČSL;68619;8;0;0;0;2;Y
TOP09;68619;6;0;0;0;1;Y
STAN;68619;6;0;0;0;0;Y
ANO;68620;0;68;0;4;6;N
ODS;68620;20;0;1;1;3;Y
Piráti;68620;20;0;0;0;2;Y
SPD;68620;19;0;0;0;3;Y
ČSSD;68620;0;0;1;13;1;O
KSČM;68620;12;0;1;1;1;Y
KDU-ČSL;68620;8;0;0;0;2;Y
TOP09;68620;6;0;0;0;1;Y
STAN;68620;6;0;0;0;0;Y
ANO;68621;72;0;0;0;6;Y
ODS;68621;0;20;0;2;3;N
Piráti;68621;0;19;0;1;2;N
SPD;68621;0;0;0;19;3;O
ČSSD;68621;13;0;1;1;0;Y
KSČM;68621;10;1;0;3;1;Y
KDU-ČSL;68621;0;7;0;1;2;N
TOP09;68621;0;6;0;0;1;N
STAN;68621;0;5;0;1;0;N
